Participant ID,Event Name,Participant ID,Date rated,Participant type,Cadre,"Please, Specify the cadre",Facility ID,Complete?,Complete?,Item 1,Item 2,Item 4,Item 5,Item 6,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Complete?
10001,1st Assessment,22010020,2024-12-05,Lay Provider,Mentor Mother,,1,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
10002,1st Assessment,22010019,2024-12-05,Lay Provider,HTS,,1,Complete,Complete,4,4,4,4,4,4,3,3,3,3,3,Complete
10003,1st Assessment,24010025,2024-12-05,Lay Provider,Nurse,,1,Complete,Complete,3,3,3,3,4,3,3,3,3,3,3,Complete
10004,1st Assessment,24010018,2024-12-09,Lay Provider,Nurse,,1,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
10005,1st Assessment,22010017,2024-12-09,Lay Provider,Mentor Mother,,1,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
10006,1st Assessment,,2024-12-09,Lay Provider,Clinical Officer,,1,Complete,Complete,4,3,4,3,3,4,3,3,4,3,3,Complete
10007,1st Assessment,24010023,2024-12-09,Lay Provider,Nurse,,1,Complete,Complete,4,4,3,3,3,3,3,3,4,3,3,Complete
10008,1st Assessment,24010021,2024-12-09,Lay Provider,Nurse,,1,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
10009,1st Assessment,24010022,2024-12-09,Lay Provider,Other,nurse incharge,1,Complete,Complete,4,3,4,3,3,3,3,3,3,3,3,Complete
10010,1st Assessment,22010016,2024-12-09,Lay Provider,HTS,,1,Complete,Complete,4,4,4,4,4,4,3,4,4,3,4,Complete
30001,1st Assessment,22030050,2024-12-04,Lay Provider,HTS,,3,Complete,Complete,3,4,4,3,3,3,4,4,4,4,3,Complete
30002,1st Assessment,22030047,2024-12-03,Lay Provider,HTS,,3,Complete,Complete,4,4,3,4,4,3,4,4,4,4,3,Complete
30003,1st Assessment,22030055,2024-12-03,Lay Provider,HTS,,3,Complete,Complete,3,4,3,3,3,4,3,3,4,3,3,Complete
30004,1st Assessment,22030053,2024-12-04,Lay Provider,Mentor Mother,,3,Complete,Complete,4,4,3,3,3,3,3,3,3,3,3,Complete
30005,1st Assessment,22030049,2024-12-04,Lay Provider,Mentor Mother,,3,Complete,Complete,3,3,3,3,3,3,3,3,4,3,3,Complete
30006,1st Assessment,22030046,2024-12-04,Lay Provider,Mentor Mother,,3,Complete,Complete,4,4,3,4,3,4,3,3,4,4,3,Complete
30007,1st Assessment,24030048,2024-12-03,Lay Provider,Nurse,,3,Complete,Complete,4,4,4,4,4,3,4,4,4,4,4,Complete
30009,1st Assessment,24030051,2024-12-03,Lay Provider,Nurse,,3,Complete,Complete,4,4,4,4,3,3,4,4,4,4,3,Complete
30010,1st Assessment,24030054,2024-12-05,Lay Provider,Nurse,,3,Complete,Complete,4,4,4,3,4,3,3,4,4,3,3,Complete
30011,1st Assessment,24030052,2024-12-05,Lay Provider,Clinical Officer,,3,Complete,Complete,4,4,4,3,4,4,4,4,4,4,3,Complete
40001,1st Assessment,24040070,2024-12-03,Lay Provider,Nurse,,4,Complete,Complete,4,4,4,3,3,3,3,4,3,4,3,Complete
40002,1st Assessment,22040063,2024-12-03,Lay Provider,HTS,,4,Complete,Complete,4,4,4,3,4,3,3,4,3,4,3,Complete
40003,1st Assessment,22040064,2024-12-05,Lay Provider,Mentor Mother,,4,Complete,Complete,3,4,4,3,3,3,4,3,3,3,3,Complete
40004,1st Assessment,22040061,2024-12-05,Lay Provider,Mentor Mother,,4,Complete,Complete,3,3,4,3,4,3,3,3,3,3,3,Complete
40005,1st Assessment,,2024-12-05,Lay Provider,Nurse,,4,Complete,Complete,4,4,4,3,3,3,3,4,3,3,4,Complete
40006,1st Assessment,24040068,2024-12-05,Lay Provider,Clinical Officer,,4,Complete,Complete,4,4,4,3,4,4,3,3,3,3,3,Complete
40007,1st Assessment,24040069,2024-12-05,Lay Provider,Clinical Officer,,4,Complete,Complete,4,4,3,4,3,3,4,3,3,3,3,Complete
40008,1st Assessment,,2024-12-03,Lay Provider,Other,lab technician ,4,Complete,Complete,3,3,3,3,3,3,3,3,3,3,4,Complete
40009,1st Assessment,24040062,2024-12-03,Lay Provider,Nurse,,4,Complete,Complete,3,3,3,3,4,3,3,4,3,3,3,Complete
40010,1st Assessment,24040067,2024-12-03,Lay Provider,Nurse,,4,Complete,Complete,3,3,3,3,3,3,3,3,3,3,4,Complete
70001,1st Assessment,24070114,2024-11-18,Lay Provider,Clinical Officer,,7,Complete,Complete,4,4,4,3,3,4,4,3,4,3,4,Complete
70002,1st Assessment,,2024-11-18,Lay Provider,HTS,,7,Complete,Complete,4,4,3,3,3,4,4,3,4,3,3,Complete
70003,1st Assessment,24070112,2024-11-18,Lay Provider,Nurse,,7,Complete,Complete,4,4,3,3,3,4,4,4,4,3,3,Complete
70004,1st Assessment,,2024-11-20,Lay Provider,Nurse,,7,Complete,Complete,3,3,3,4,3,4,3,3,4,3,3,Complete
70005,1st Assessment,,2024-11-20,Lay Provider,Nurse,,7,Complete,Complete,4,3,3,3,3,3,4,4,4,3,4,Complete
70006,1st Assessment,22070109,2024-11-19,Lay Provider,Mentor Mother,,7,Complete,Complete,4,4,4,3,3,4,4,4,4,3,3,Complete
70007,1st Assessment,24070111,2024-11-19,Lay Provider,Nurse,,7,Complete,Complete,4,3,4,3,3,4,4,4,4,3,3,Complete
70008,1st Assessment,22070108,2025-11-19,Lay Provider,Nurse,,7,Complete,Complete,4,4,3,3,3,4,4,4,4,3,3,Complete
70009,1st Assessment,22070106,2024-11-20,Lay Provider,Mentor Mother,,7,Complete,Complete,3,3,3,3,3,4,3,3,4,3,3,Complete
70010,1st Assessment,24070110,2024-11-20,Lay Provider,Clinical Officer,,7,Complete,Complete,4,3,3,3,3,3,3,4,4,4,4,Complete
90001,1st Assessment,22090139,2024-12-02,Lay Provider,HTS,,9,Complete,Complete,3,3,4,4,3,3,3,4,3,3,3,Complete
90002,1st Assessment,22090138,2024-11-28,Lay Provider,HTS,,9,Complete,Complete,3,3,4,4,3,3,3,4,3,3,3,Complete
90003,1st Assessment,24090143,2024-11-26,Lay Provider,Nurse,,9,Complete,Complete,3,4,3,3,4,3,3,3,4,3,3,Complete
90004,1st Assessment,22090136,2024-11-28,Lay Provider,Mentor Mother,,9,Complete,Complete,3,3,4,4,3,3,4,4,3,3,3,Complete
90005,1st Assessment,,2024-12-10,Lay Provider,Mentor Mother,,9,Complete,Complete,3,3,4,4,3,3,3,4,3,3,3,Complete
90006,1st Assessment,22090140,2024-11-26,Lay Provider,Nurse,,9,Complete,Complete,3,4,3,3,4,3,3,4,3,3,3,Complete
90007,1st Assessment,24090141,2024-12-11,Lay Provider,Nurse,,9,Complete,Complete,3,3,4,4,3,3,3,4,3,3,3,Complete
90008,1st Assessment,22090144,2024-12-02,Lay Provider,Other,adherence counsellor ,9,Complete,Complete,3,3,4,4,3,3,3,4,3,3,3,Complete
90009,1st Assessment,24090142,2024-12-05,Lay Provider,Nurse,,9,Complete,Complete,3,3,4,4,3,3,3,4,3,3,3,Complete
90010,1st Assessment,24090145,2024-12-04,Lay Provider,Other,nurse incharge,9,Complete,Complete,3,3,3,4,3,3,3,4,3,3,3,Complete
130001,1st Assessment,23130173,2024-12-17,Lay Provider,Clinical Officer,,13,Complete,Complete,4,4,4,4,4,3,4,4,4,4,4,Complete
130002,1st Assessment,24130174,2024-12-17,Lay Provider,Clinical Officer,,13,Complete,Complete,4,4,4,4,4,4,4,3,3,3,4,Complete
130003,1st Assessment,24130171,2024-12-16,Lay Provider,Clinical Officer,,13,Complete,Complete,4,4,4,4,4,4,4,4,4,4,4,Complete
130004,1st Assessment,24130172,2024-12-09,Lay Provider,Nurse,,13,Complete,Complete,4,4,4,4,4,4,4,4,4,4,4,Complete
130005,1st Assessment,24130169,2024-12-09,Lay Provider,Nurse,,13,Complete,Complete,4,4,4,4,4,4,4,4,4,4,4,Complete
130006,1st Assessment,24130170,2024-12-06,Lay Provider,Nurse,,13,Complete,Complete,4,4,4,4,4,4,4,4,3,4,4,Complete
130007,1st Assessment,,2024-12-03,Lay Provider,Nurse,,13,Complete,Complete,4,4,4,4,4,4,4,4,4,4,4,Complete
130008,1st Assessment,22130168,2024-12-02,Lay Provider,Mentor Mother,,13,Complete,Complete,4,4,4,4,4,3,3,3,4,3,3,Complete
130009,1st Assessment,22130167,2024-11-28,Lay Provider,HTS,,13,Complete,Complete,4,4,4,4,4,4,4,4,4,4,4,Complete
130010,1st Assessment,22130166,2024-11-28,Lay Provider,HTS,,13,Complete,Complete,4,4,4,4,4,4,3,4,3,4,4,Complete
160001,1st Assessment,22160217,2024-12-05,Lay Provider,HTS,,16,Complete,Complete,4,4,4,3,4,3,3,3,4,3,4,Complete
160002,1st Assessment,22160212,2024-12-05,Lay Provider,Mentor Mother,,16,Complete,Complete,4,4,4,3,3,4,3,3,4,3,4,Complete
160003,1st Assessment,24160214,2024-12-05,Lay Provider,Nurse,,16,Complete,Complete,4,4,4,3,3,3,3,4,4,3,4,Complete
160004,1st Assessment,24160211,2024-12-05,Lay Provider,Nurse,,16,Complete,Complete,3,4,3,3,4,3,3,3,4,4,4,Complete
160005,1st Assessment,22160215,2024-12-05,Lay Provider,HTS,,16,Complete,Complete,4,4,4,4,4,3,3,3,4,4,3,Complete
160006,1st Assessment,24160213,2024-12-05,Lay Provider,Nurse,,16,Complete,Complete,4,4,4,3,3,4,3,3,4,3,3,Complete
160007,1st Assessment,24160319,2024-12-05,Lay Provider,Nurse,,16,Complete,Complete,4,4,4,4,4,3,3,3,4,4,4,Complete
160008,1st Assessment,,2024-12-05,Lay Provider,Nurse,,16,Complete,Complete,4,4,4,3,3,3,4,3,3,3,3,Complete
160009,1st Assessment,,2024-12-05,Lay Provider,Mentor Mother,,16,Complete,Complete,4,4,4,3,3,4,3,3,4,4,4,Complete
160010,1st Assessment,24160216,2024-12-05,Lay Provider,Clinical Officer,,16,Complete,Complete,4,3,4,4,4,3,3,3,4,4,4,Complete
170001,1st Assessment,24170234,2024-12-13,Lay Provider,Nurse,,17,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
170001,2nd Assessment,,,,,,,Incomplete,Incomplete,,,,,,,,,,,,Incomplete
170002,1st Assessment,22170229,2024-12-13,Lay Provider,Mentor Mother,,17,Complete,Complete,3,1,3,3,3,3,3,3,3,3,3,Complete
170002,2nd Assessment,22170229,2025-01-30,Lay Provider,Mentor Mother,,17,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
170003,1st Assessment,24170232,2024-12-13,Lay Provider,Nurse,,17,Complete,Complete,3,3,3,4,3,3,3,3,3,3,3,Complete
170004,1st Assessment,24170233,2024-12-13,Lay Provider,Clinical Officer,,17,Complete,Complete,3,3,3,3,3,3,3,3,3,3,1,Complete
170004,2nd Assessment,24170233,2025-01-30,Lay Provider,Clinical Officer,,17,Complete,Complete,3,3,3,3,3,3,3,3,3,3,4,Complete
170005,1st Assessment,,2024-12-17,Lay Provider,Other,Lab technician,17,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
170006,1st Assessment,23170227,2024-12-17,Lay Provider,Nurse,,17,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
170007,1st Assessment,24170230,2024-12-18,Lay Provider,Nurse,,17,Complete,Complete,4,4,3,3,3,3,3,3,3,3,4,Complete
170008,1st Assessment,24170231,2024-12-18,Lay Provider,Nurse,,17,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
170009,1st Assessment,24170228,2024-12-19,Lay Provider,Clinical Officer,,17,Complete,Complete,3,1,3,3,3,3,3,3,3,3,3,Complete
170009,2nd Assessment,24170228,2025-01-30,Lay Provider,Clinical Officer,,17,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
170010,1st Assessment,22170226,2024-12-19,Lay Provider,HTS,,17,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
190001,1st Assessment,22190257,2024-12-13,Lay Provider,Mentor Mother,,19,Complete,Complete,4,4,4,3,4,4,4,4,4,4,4,Complete
190002,1st Assessment,,2024-12-16,Lay Provider,Clinical Officer,,19,Complete,Complete,4,4,4,3,4,4,4,4,4,4,4,Complete
190003,1st Assessment,24190264,2024-12-09,Lay Provider,Nurse,,19,Complete,Complete,4,4,4,3,3,3,4,4,4,4,4,Complete
190004,1st Assessment,24190259,2024-12-12,Lay Provider,Clinical Officer,,19,Complete,Complete,4,3,4,4,3,4,4,4,4,3,4,Complete
190005,1st Assessment,,2024-12-12,Lay Provider,Nurse,,19,Complete,Complete,4,4,3,4,3,3,4,4,4,4,4,Complete
190006,1st Assessment,24190262,2024-12-11,Lay Provider,Nurse,,19,Complete,Complete,4,4,4,4,4,3,4,4,4,4,4,Complete
190007,1st Assessment,24190263,2024-11-29,Lay Provider,Nurse,,19,Complete,Complete,4,4,4,4,4,4,4,3,4,3,4,Complete
190008,1st Assessment,,2024-12-02,Lay Provider,Nurse,,19,Complete,Complete,4,4,4,4,4,4,3,3,4,4,4,Complete
190009,1st Assessment,23190261,2024-12-06,Lay Provider,Clinical Officer,,19,Complete,Complete,4,4,4,4,4,4,4,4,4,4,4,Complete
190010,1st Assessment,22190258,2024-12-18,Lay Provider,Mentor Mother,,19,Complete,Complete,4,4,4,4,4,4,4,4,4,4,4,Complete
220001,1st Assessment,24220310,2024-11-28,Lay Provider,Nurse,,12,Complete,Complete,4,4,4,3,3,3,4,4,4,4,4,Complete
220002,1st Assessment,24220304,2024-11-27,Lay Provider,Mentor Mother,,12,Complete,Complete,4,4,4,4,4,4,4,4,4,4,4,Complete
220003,1st Assessment,22220307,2024-11-27,Lay Provider,HTS,,12,Complete,Complete,4,4,4,4,4,4,3,3,4,4,4,Complete
220004,1st Assessment,23220308,2024-11-27,Lay Provider,Clinical Officer,,12,Complete,Complete,4,4,4,4,4,4,4,4,4,4,4,Complete
220005,1st Assessment,24220305,2024-11-25,Lay Provider,Nurse,,12,Complete,Complete,4,4,4,4,4,4,4,4,4,4,4,Complete
220006,1st Assessment,22220302,2024-11-22,Lay Provider,HTS,,12,Complete,Complete,4,4,4,4,4,4,3,3,4,4,4,Complete
220007,1st Assessment,22220306,2024-11-22,Lay Provider,Other,Adherence counsellor,12,Complete,Complete,4,4,4,4,4,4,3,4,3,4,4,Complete
220008,1st Assessment,22220301,2024-11-25,Lay Provider,HTS,,12,Complete,Complete,4,4,4,4,4,4,4,4,4,4,4,Complete
220009,1st Assessment,24220309,2024-11-28,Lay Provider,Nurse,,12,Complete,Complete,4,4,4,4,4,3,3,3,4,4,4,Complete
220010,1st Assessment,,2024-11-29,Lay Provider,Nurse,,12,Complete,Complete,4,4,4,3,4,4,4,3,4,4,4,Complete